"id","committer","comunity","star","watcher","pull_request","dpdp","pdp"
"75078","5","5","93","83","3","TRUE","TRUE"
"112221","3","5","12","13","3","TRUE","TRUE"
"54877","2","5","10","8","3","TRUE","TRUE"
"153807","9","13","129","125","3","FALSE","TRUE"
"24156","2","3","4","4","3","TRUE","TRUE"
"191824","4","7","62","50","3","TRUE","TRUE"
"160195","2","6","192","160","3","TRUE","TRUE"
"160337","5","7","89","110","3","FALSE","TRUE"
"160958","5","12","43","45","3","TRUE","TRUE"
"161398","9","14","35","31","3","TRUE","TRUE"
"30794","4","4","21","12","3","TRUE","TRUE"
"194969","2","2","8","0","3","FALSE","TRUE"
"197334","1","1","1","0","2","TRUE","TRUE"
"35513","1","1","3","3","2","TRUE","TRUE"
"168022","3","5","4","4","2","TRUE","FALSE"
"204798","4","4","49","36","2","TRUE","TRUE"
"205090","3","3","20","8","2","TRUE","TRUE"
"206166","3","3","9","7","2","FALSE","FALSE"
"43790","4","4","4","3","2","TRUE","TRUE"
"43909","4","7","3","8","2","TRUE","TRUE"
"110377","3","3","3","2","2","FALSE","FALSE"
"12829","3","4","146","127","2","FALSE","FALSE"
"176680","16","16","5","5","2","TRUE","TRUE"
"78636","3","6","51","38","2","TRUE","TRUE"
"13895","11","13","109","102","2","FALSE","TRUE"
"179452","3","3","11","8","2","TRUE","TRUE"
"116458","1","1","1","1","2","FALSE","FALSE"
"117309","10","11","7","6","2","TRUE","TRUE"
"53636","6","6","59","50","2","FALSE","TRUE"
"53811","3","4","193","153","2","TRUE","TRUE"
"86700","5","5","152","127","2","TRUE","TRUE"
"185407","4","4","25","18","2","TRUE","TRUE"
"89352","3","3","1","1","2","FALSE","FALSE"
"25249","3","6","87","92","2","TRUE","TRUE"
"156359","3","4","45","43","2","TRUE","TRUE"
"124397","5","10","36","32","2","TRUE","TRUE"
"59200","3","5","84","78","2","TRUE","TRUE"
"26586","3","6","24","26","2","TRUE","TRUE"
"59831","5","6","3","3","2","TRUE","TRUE"
"191361","8","9","2","3","2","TRUE","TRUE"
"28311","4","13","88","74","2","TRUE","FALSE"
"61517","3","3","14","10","2","TRUE","TRUE"
"29639","5","6","75","53","2","TRUE","TRUE"
"95301","2","2","33","20","2","FALSE","FALSE"
"161206","5","5","3","5","2","FALSE","TRUE"
"161726","3","3","2","2","2","FALSE","FALSE"
"63969","6","8","16","10","2","TRUE","TRUE"
"129889","2","3","6","7","2","FALSE","TRUE"
"196541","3","3","4","0","2","FALSE","FALSE"
"198397","1","3","22","18","1","FALSE","FALSE"
"1837","2","2","3","2","1","TRUE","TRUE"
"68941","2","2","14","17","1","TRUE","TRUE"
"37430","2","2","1","1","1","TRUE","TRUE"
"70220","4","4","2","1","1","TRUE","TRUE"
"5220","3","5","116","94","1","FALSE","TRUE"
"136621","6","6","3","3","1","TRUE","TRUE"
"5683","2","2","23","23","1","TRUE","TRUE"
"170897","3","3","4","1","1","TRUE","TRUE"
"40425","4","4","1","1","1","FALSE","TRUE"
"106026","4","4","1","1","1","TRUE","TRUE"
"41235","2","2","3","3","1","TRUE","TRUE"
"41434","4","4","5","5","1","FALSE","FALSE"
"41815","3","4","6","7","1","FALSE","FALSE"
"206244","1","1","6","2","1","TRUE","TRUE"
"11295","14","17","19","17","1","TRUE","TRUE"
"175290","2","3","11","3","1","TRUE","TRUE"
"11741","3","3","25","21","1","TRUE","TRUE"
"77307","3","3","15","13","1","FALSE","FALSE"
"77363","3","4","39","35","1","TRUE","TRUE"
"78224","4","4","4","5","1","TRUE","TRUE"
"144236","2","2","7","5","1","TRUE","TRUE"
"111592","5","6","19","18","1","TRUE","TRUE"
"46075","1","4","43","6","1","FALSE","TRUE"
"78950","6","6","9","7","1","FALSE","FALSE"
"111975","2","2","1","1","1","FALSE","TRUE"
"178202","1","2","2","0","1","TRUE","TRUE"
"14470","3","13","104","102","1","FALSE","TRUE"
"178481","2","2","9","5","1","TRUE","TRUE"
"113308","4","4","14","4","1","TRUE","TRUE"
"146187","2","2","8","8","1","FALSE","FALSE"
"179380","4","4","10","6","1","FALSE","FALSE"
"179523","2","2","0","1","1","FALSE","FALSE"
"81440","10","11","15","12","1","TRUE","TRUE"
"17835","2","3","2","3","1","FALSE","FALSE"
"19068","2","4","12","11","1","TRUE","TRUE"
"183484","4","4","14","11","1","TRUE","TRUE"
"183566","2","2","4","1","1","TRUE","TRUE"
"151267","5","5","63","46","1","FALSE","TRUE"
"85850","7","7","4","5","1","TRUE","TRUE"
"184983","2","2","54","28","1","TRUE","TRUE"
"119875","5","5","61","60","1","TRUE","TRUE"
"55256","1","2","52","16","1","TRUE","TRUE"
"186842","3","3","3","0","1","FALSE","FALSE"
"88640","3","4","1","1","1","FALSE","FALSE"
"88797","4","4","34","38","1","FALSE","FALSE"
"188036","5","5","2","1","1","TRUE","TRUE"
"24914","3","4","63","61","1","TRUE","TRUE"
"123717","2","2","14","11","1","FALSE","FALSE"
"91461","2","2","2","2","1","TRUE","TRUE"
"59781","3","4","13","7","1","TRUE","TRUE"
"93207","3","3","23","11","1","TRUE","TRUE"
"93486","3","3","17","17","1","TRUE","TRUE"
"192059","6","12","128","97","1","TRUE","TRUE"
"63044","4","5","51","43","1","TRUE","TRUE"
"194342","3","3","26","19","1","TRUE","TRUE"
"96318","9","9","10","1","1","FALSE","TRUE"
"98140","4","5","24","14","1","TRUE","TRUE"
"65524","17","17","4","2","1","TRUE","TRUE"
"6940","1","1","3","2","","FALSE","TRUE"
"7007","3","3","0","1","","FALSE","FALSE"
"7503","2","2","49","28","","TRUE","TRUE"
"8413","1","1","34","20","","FALSE","TRUE"
"10458","4","4","3","3","","TRUE","TRUE"
"11925","1","1","14","7","","TRUE","TRUE"
"12113","8","9","6","6","","TRUE","TRUE"
"13467","5","17","1","3","","TRUE","TRUE"
"14192","3","3","23","18","","TRUE","TRUE"
"14366","1","1","1","0","","FALSE","TRUE"
"19025","6","7","32","12","","FALSE","TRUE"
"19294","1","1","12","11","","FALSE","FALSE"
"19324","2","2","29","24","","TRUE","TRUE"
"19390","1","1","35","26","","TRUE","TRUE"
"21639","1","1","25","9","","TRUE","TRUE"
"22140","1","1","44","12","","TRUE","TRUE"
"25556","3","3","3","2","","TRUE","TRUE"
"26393","1","1","25","28","","FALSE","TRUE"
"26814","1","1","24","16","","TRUE","TRUE"
"26837","1","1","2","2","","TRUE","TRUE"
"27123","2","3","33","24","","TRUE","TRUE"
"27584","1","1","24","6","","FALSE","FALSE"
"27751","3","3","44","39","","FALSE","FALSE"
"28024","1","1","2","1","","TRUE","TRUE"
"28875","1","1","1","2","","FALSE","TRUE"
"33113","4","4","4","4","","FALSE","FALSE"
"33511","1","1","5","6","","TRUE","FALSE"
"33891","1","1","1","1","","FALSE","FALSE"
