DPDP,id,star,watcher,committer,comunity,have_language,pull_request
FALSE,2514330,1,0,3,3,1,2
TRUE,1914831,5,2,2,2,1,1
FALSE,2230015,2,1,1,1,0,0
TRUE,2347791,2,0,1,1,1,0
TRUE,2509172,10,6,2,2,1,1
TRUE,2511893,1,0,1,1,1,0
FALSE,487511,19,22,5,5,1,3
TRUE,1284172,21,12,1,2,1,0
FALSE,2507298,1,0,1,1,0,0
TRUE,2509914,0,0,1,2,1,0
FALSE,2512734,1,0,1,1,1,0
FALSE,37272,0,1,8,8,1,0
TRUE,636576,2,2,1,1,1,0
TRUE,1620592,44,25,8,12,1,13
TRUE,2508304,1,0,1,1,0,0
FALSE,2513859,1,0,1,1,0,0
FALSE,648580,4,4,2,2,1,0
TRUE,179380,10,6,4,4,1,1
FALSE,2515358,1,0,2,2,1,0
FALSE,2518274,0,0,2,2,1,0
FALSE,346296,24,17,6,6,0,3
FALSE,2512067,1,0,1,1,1,0
TRUE,585002,26,21,4,10,1,1
TRUE,2510958,1,0,1,1,1,0
TRUE,851049,2,1,5,5,1,0
TRUE,2153144,3,1,1,2,1,0
TRUE,2227263,2,1,3,3,1,0
FALSE,2518784,1,0,1,1,1,0
FALSE,123435,316,118,15,29,1,32
TRUE,831430,27,25,2,3,1,0
TRUE,1962549,2,2,1,1,1,0
FALSE,235574,28,19,2,2,1,0
FALSE,689037,1,1,2,2,1,1
TRUE,2204462,26,11,3,3,1,0
FALSE,2514683,1,0,2,2,1,1
FALSE,113814,7,7,1,2,1,0
TRUE,2197898,5,4,1,1,1,0
TRUE,29933,1075,661,86,238,1,74
TRUE,689801,2,2,2,2,1,0
FALSE,2509677,1,0,1,1,1,0
TRUE,2512481,0,0,1,1,1,0
TRUE,1181924,4,1,2,2,1,0
FALSE,2330749,2,0,2,2,1,0
FALSE,2508806,1,0,1,1,1,0
TRUE,2514434,2,1,2,2,1,3
TRUE,195796,52,53,4,7,1,10
TRUE,2225741,3,2,2,2,1,0
TRUE,2514697,0,0,1,1,1,0
TRUE,765300,65,29,6,8,1,4
FALSE,2510628,1,0,1,1,1,0
TRUE,2513525,8,6,2,2,1,2
FALSE,2507553,1,0,1,1,1,0
TRUE,2512980,3,1,1,1,1,0
TRUE,1396066,23,17,7,7,1,8
FALSE,352177,1,1,2,2,1,3
TRUE,1017969,7,5,1,3,1,0
TRUE,2256019,16,15,2,5,1,0
TRUE,2507985,1,0,1,1,1,0
FALSE,2510574,1,0,1,1,1,0
FALSE,2513448,1,0,1,1,1,0
TRUE,1829403,3,2,1,1,1,0
FALSE,2318766,1,0,3,3,1,0
TRUE,245263,1,0,1,1,1,0
TRUE,2506753,1,0,1,1,1,0
FALSE,2509371,2,2,1,1,1,0
TRUE,2515136,2,0,1,1,1,0
FALSE,1254005,6,0,8,8,1,0
TRUE,2200647,3,2,1,1,1,0
FALSE,2226330,5,7,1,1,1,0
TRUE,2445608,2,1,1,1,1,0
TRUE,497217,1,1,1,1,1,0
TRUE,1560739,8,7,4,4,1,3
TRUE,2517074,2,1,1,1,1,0
FALSE,2228892,5,2,1,1,1,0
TRUE,2508415,1,0,1,1,1,0
TRUE,2519903,6,2,2,2,1,1
TRUE,953292,105,79,16,42,1,6
FALSE,1729496,3,5,1,1,1,0
FALSE,2508223,1,0,1,1,0,0
TRUE,2510870,1,0,1,1,1,0
TRUE,30351,426,326,82,138,1,86
FALSE,375609,2,1,2,2,1,0
FALSE,467591,5,1,5,8,1,6
FALSE,2515299,0,0,2,2,1,0
TRUE,656587,5,5,1,2,1,0
TRUE,2508219,2,0,1,1,1,0
FALSE,2513770,2,0,1,1,0,0
TRUE,451657,11,6,3,3,1,2
TRUE,87477,2,1,1,1,1,0
FALSE,96835,4,4,1,1,1,0
TRUE,2195630,3,3,1,1,1,0
TRUE,2509083,1,0,1,1,0,0
FALSE,2511801,1,0,1,1,1,0
TRUE,2514803,1,0,1,1,1,0
FALSE,411981,2,8,4,4,1,4
FALSE,2513037,1,0,1,1,1,0
TRUE,2519001,0,0,1,1,1,0
FALSE,116458,1,1,1,1,1,2
FALSE,2510174,1,0,1,1,0,0
FALSE,2509196,1,0,1,1,1,0
TRUE,2514935,8,6,1,1,1,0
TRUE,2517926,3,2,1,1,1,0
TRUE,1018557,19,17,1,2,1,0
TRUE,1055061,2,0,1,1,1,0
TRUE,2510885,2,0,4,4,1,0
TRUE,304148,27,22,6,9,1,4
TRUE,2508119,7,0,1,1,1,0
TRUE,391502,12,4,3,4,1,1
FALSE,2510532,0,0,1,1,1,0
TRUE,2513404,1,0,1,1,1,0
FALSE,2511441,1,0,1,1,1,0
TRUE,2514408,2,1,2,2,1,0
TRUE,2510319,2,0,1,1,1,0
FALSE,1510846,3,2,2,5,1,0
TRUE,243182,50,9,1,1,1,0
TRUE,2508373,2,0,1,1,1,0
FALSE,753885,1,1,2,2,1,0
FALSE,2514858,1,0,1,1,1,0
FALSE,2517821,1,0,1,1,1,0
FALSE,334665,2,2,1,1,1,0
TRUE,72571,30,25,4,5,1,7
TRUE,2508372,1,1,1,1,1,0
TRUE,25974,435,372,9,12,1,5
FALSE,2226315,2,1,1,1,0,0
TRUE,2506748,5,2,1,1,1,0
FALSE,324204,57,28,10,18,1,25
TRUE,52291,1247,650,19,29,1,23
FALSE,24914,63,61,3,4,1,1
FALSE,2512406,1,0,1,1,1,0
FALSE,760731,150,127,20,32,1,21
TRUE,2227203,4,3,1,1,1,0
FALSE,2512814,1,0,2,2,1,0
TRUE,619610,6,4,4,4,1,1
TRUE,70220,2,1,4,4,1,1
FALSE,2506758,1,0,2,2,0,0
FALSE,2509375,1,0,1,1,1,0
TRUE,2515143,2,0,1,1,1,0
TRUE,205098,49,39,8,8,1,5
FALSE,2508841,1,1,2,2,1,0
FALSE,44034,56,50,2,3,1,0
FALSE,2507573,1,0,1,1,1,0
TRUE,2510162,4,3,2,2,1,0
TRUE,2512261,1,0,1,1,1,0
TRUE,2515243,2,1,1,1,1,0
TRUE,113002,25,20,1,1,1,0
TRUE,22140,44,12,1,1,1,0
TRUE,24996,136,107,16,17,1,8
FALSE,2512498,1,0,1,1,1,0
TRUE,52683,1,1,2,2,1,0
TRUE,793184,1,1,7,7,1,0
TRUE,2507029,3,0,2,2,1,0
FALSE,2509608,1,0,2,2,0,0
FALSE,2512438,0,0,1,1,1,0
FALSE,2508847,3,0,2,2,1,0
FALSE,2511517,2,1,3,3,1,0
TRUE,59781,13,7,3,4,1,1
TRUE,182655,50,37,18,21,1,12
TRUE,2508536,1,0,1,1,1,0
FALSE,2514125,1,0,1,1,1,0
TRUE,1007802,4,2,1,2,1,0
FALSE,2510293,0,0,1,1,0,0
TRUE,183484,14,11,4,4,1,1
TRUE,2506320,0,0,3,3,1,0
FALSE,2514676,0,0,1,1,1,0
FALSE,334406,12,7,3,3,1,2
FALSE,1115271,4,1,2,2,1,0
TRUE,2514177,5,1,1,1,1,0
TRUE,2520041,1,1,1,1,1,0
TRUE,200350,772,326,153,275,1,294
TRUE,249477,3,0,2,2,1,1
TRUE,2511320,1,0,1,1,1,0
FALSE,2520150,1,0,1,1,1,0
TRUE,664903,4,1,3,3,1,0
FALSE,953769,2,2,1,1,1,0
FALSE,249683,1,1,2,2,1,0
TRUE,265979,8,2,3,4,1,2
TRUE,696307,3,0,1,1,1,1
TRUE,749996,2,2,1,1,1,0
TRUE,1020349,1,0,1,1,1,0
TRUE,2230056,44,36,6,14,1,8
FALSE,2252090,3,1,1,1,1,0
FALSE,2347893,3,0,2,2,0,2
TRUE,2511923,1,0,1,1,1,0
FALSE,1101227,4,0,1,1,1,0
TRUE,133126,1,2,4,4,1,0
TRUE,2509501,2,0,1,1,0,1
FALSE,2515281,2,0,1,1,1,0
TRUE,306865,12,8,1,5,1,0
TRUE,939060,1,1,1,1,1,0
FALSE,1318116,22,11,2,2,1,0
FALSE,1452084,0,0,1,1,1,0
FALSE,2514321,1,0,2,2,1,0
TRUE,207563,10,11,1,1,1,0
FALSE,2206686,29,22,3,3,1,0
TRUE,2223879,4,2,1,1,1,0
TRUE,2227798,4,1,2,2,1,1
FALSE,2513162,7,3,2,2,1,1
FALSE,276019,333,192,29,30,0,28
TRUE,1459652,3,2,1,1,1,0
TRUE,1885160,1,1,4,22,1,3
TRUE,2481700,1,0,2,2,1,0
FALSE,2507446,1,0,1,1,1,0
FALSE,2510042,1,0,1,1,0,0
FALSE,2518829,1,0,1,1,1,0
FALSE,55440,0,1,5,5,1,0
TRUE,222373,22,15,2,2,1,1
FALSE,2509130,1,0,1,1,0,0
TRUE,2511851,1,0,1,1,1,0
FALSE,261226,4,4,3,3,1,2
TRUE,339865,17,12,4,5,1,5
TRUE,441353,31,20,5,5,1,2
FALSE,2227611,5,1,5,5,1,0
TRUE,2507615,2,1,1,1,1,0
FALSE,2510214,1,0,1,1,1,0
FALSE,2516015,0,0,1,1,1,0
TRUE,53090,464,324,96,123,1,104
TRUE,734245,18,19,4,6,1,3
TRUE,141569,5,4,9,9,1,0
TRUE,176622,192,142,26,41,1,14
TRUE,2508370,6,4,1,1,1,0
FALSE,2511036,1,0,2,2,1,0
TRUE,321978,42,33,2,2,1,1
FALSE,889731,1,1,2,2,1,1
FALSE,1339582,4,1,1,1,1,0
FALSE,2514008,2,0,6,6,1,0
FALSE,43684,3,4,1,1,1,0
FALSE,1097577,14,9,2,2,1,0
TRUE,2145039,5,3,1,1,1,0
TRUE,2509019,3,2,1,1,1,0
TRUE,2514712,1,0,1,1,1,0
TRUE,2225780,11,3,1,1,1,0
TRUE,820708,61,29,6,7,1,1
TRUE,117309,7,6,10,11,1,2
TRUE,2510977,3,1,1,1,1,0
FALSE,2513867,1,0,1,1,0,0
TRUE,984601,7,6,7,11,1,6
TRUE,1149015,5,2,1,1,1,0
TRUE,1308049,28,18,2,2,0,1
TRUE,150376,1,1,2,2,1,0
TRUE,2510049,6,2,3,5,1,0
FALSE,2512891,15,8,2,2,1,1
FALSE,597604,1,1,2,2,1,0
FALSE,2506826,1,0,1,1,0,0
FALSE,88640,1,1,3,4,1,1
TRUE,2506530,2,1,1,1,1,0
FALSE,2511891,1,0,1,1,1,0
FALSE,2514897,1,0,4,4,1,5
TRUE,2514114,7,0,3,3,1,0
FALSE,2507719,1,0,1,1,1,0
FALSE,2510309,1,0,1,1,1,0
