id,committer,comunity,star,watcher,pull_request
207023,5,6,6,5,0
207563,1,1,10,11,0
207632,1,1,10,4,0
231354,13,43,67,20,132
427325,108,174,904,674,100
234526,64,241,398,293,94
220784,15,15,20,3,91
236667,23,27,201,152,90
226789,33,38,18,13,90
232776,43,44,110,87,62
504263,62,131,493,389,57
307578,27,62,296,248,38
418654,32,60,178,137,37
215083,7,15,59,24,35
296987,11,22,3,50,34
276019,29,30,333,192,28
227513,28,33,209,124,28
267761,13,13,81,62,25
220918,3,3,1,0,25
324204,10,18,57,28,25
362894,17,33,217,123,24
338154,11,12,21,16,23
515884,25,30,312,148,21
210742,31,48,94,74,19
258294,28,189,48,38,19
293082,14,37,56,54,19
478276,33,34,115,43,16
229175,2,2,7,3,16
590497,11,12,23,19,15
209691,13,15,13,12,14
360356,16,16,17,11,14
237883,13,13,15,0,13
306672,16,55,13,9,13
519285,12,29,151,99,13
357795,10,11,13,13,13
533704,15,18,108,93,12
209975,4,4,0,0,12
278707,8,29,40,38,12
313644,9,9,35,14,12
251092,5,15,44,28,12
258782,9,10,23,11,12
292728,7,8,9,4,12
397906,6,19,882,334,11
338860,10,14,51,51,11
279570,7,8,59,34,11
415694,1,1,3,0,11
519044,7,11,19,14,11
225189,3,3,9,5,11
324617,15,16,15,12,11
238694,11,17,37,33,10
242957,11,12,13,10,10
212764,10,11,12,11,10
290338,7,7,18,4,10
291677,2,2,6,3,10
367928,16,19,26,24,9
532723,6,13,89,76,9
246499,4,6,6,5,9
284502,4,14,37,42,9
422168,9,9,1,1,9
297223,9,11,8,9,8
298157,1,1,0,1,8
595779,6,8,139,24,8
603314,2,3,24,12,8
247701,4,4,9,2,8
612974,20,20,1,4,8
332326,10,36,402,211,7
337238,13,15,124,103,7
242551,6,6,16,12,7
443325,6,7,0,1,7
577706,5,8,47,36,7
260831,8,18,172,140,7
530803,3,8,25,29,6
235928,3,3,10,4,6
467591,5,8,5,1,6
567481,7,9,40,43,6
208374,2,2,5,3,6
374190,3,4,7,1,6
245543,6,6,13,8,6
444146,9,49,419,298,6
412395,8,8,10,9,6
384343,10,11,2,3,6
226688,4,5,4,0,6
523782,7,9,122,104,6
622338,4,6,85,42,6
262630,2,2,2,0,5
428053,6,6,34,32,5
428467,12,20,121,109,5
339865,4,5,17,12,5
472847,9,14,63,56,5
247531,17,18,6,2,5
416114,6,6,57,37,5
287879,5,9,24,10,5
256417,4,5,138,74,5
397675,4,5,24,20,4
234860,7,7,153,68,4
235826,2,3,5,2,4
598409,4,4,8,8,4
304148,6,9,27,22,4
306022,7,7,11,4,4
407837,4,12,11,11,4
212876,6,8,32,18,4
541429,3,6,202,157,4
411421,17,20,23,20,4
411981,4,4,2,8,4
318436,7,7,29,13,4
253781,3,3,87,66,4
254980,5,9,93,73,4
393352,3,3,27,14,3
328726,7,7,18,19,3
427280,6,6,27,19,3
266845,5,5,8,1,3
332784,4,4,9,10,3
307145,3,3,10,7,3
406748,2,3,2,1,3
244955,3,3,3,0,3
376936,3,3,3,2,3
246034,6,8,42,23,3
279429,1,1,1,1,3
508951,3,3,72,67,3
312761,7,7,7,4,3
346296,6,6,24,17,3
379900,3,3,8,2,3
250460,8,9,22,18,3
414600,6,6,50,33,3
219169,3,4,18,16,3
384481,4,6,6,0,3
352177,2,2,1,1,3
451230,3,4,25,14,3
